Entity,Year,Population,Age range
World,1950,338496583,5 or under
World,1951,357888384,5 or under
World,1952,375317072,5 or under
World,1953,389208432,5 or under
World,1954,399285368,5 or under
World,1955,407177108,5 or under
World,1956,418562650,5 or under
World,1957,423912501,5 or under
World,1958,426333259,5 or under
World,1959,428963894,5 or under
World,1960,434008148,5 or under
World,1961,436632765,5 or under
World,1962,444348553,5 or under
World,1963,455725898,5 or under
World,1964,467953106,5 or under
World,1965,479303511,5 or under
World,1966,493730695,5 or under
World,1967,504077098,5 or under
World,1968,511351970,5 or under
World,1969,517485524,5 or under
World,1970,524080098,5 or under
World,1971,531491883,5 or under
World,1972,536683085,5 or under
World,1973,540359989,5 or under
World,1974,542805507,5 or under
World,1975,544509945,5 or under
World,1976,545831110,5 or under
World,1977,545472161,5 or under
World,1978,544569672,5 or under
World,1979,544838047,5 or under
World,1980,547597480,5 or under
World,1981,550801985,5 or under
World,1982,557682727,5 or under
World,1983,567358877,5 or under
World,1984,578440368,5 or under
World,1985,590128339,5 or under
World,1986,606209489,5 or under
World,1987,619964614,5 or under
World,1988,631113152,5 or under
World,1989,639016669,5 or under
World,1990,643553449,5 or under
World,1991,649506409,5 or under
World,1992,646075679,5 or under
World,1993,636748029,5 or under
World,1994,626729823,5 or under
World,1995,619842533,5 or under
World,1996,608067007,5 or under
World,1997,605138103,5 or under
World,1998,608453277,5 or under
World,1999,613054770,5 or under
World,2000,615665603,5 or under
World,2001,622643947,5 or under
World,2002,625335799,5 or under
World,2003,625057515,5 or under
World,2004,624922571,5 or under
World,2005,627238009,5 or under
World,2006,631515210,5 or under
World,2007,636307578,5 or under
World,2008,641725809,5 or under
World,2009,647050718,5 or under
World,2010,652014313,5 or under
World,2011,658172453,5 or under
World,2012,662567315,5 or under
World,2013,665655014,5 or under
World,2014,668172523,5 or under
World,2015,670673694,5 or under
World,2016,672883378,5 or under
World,2017,674734222,5 or under
World,2018,676275956,5 or under
World,2019,677366407,5 or under
World,2020,677941790,5 or under
World,1950,531111819,5 to 14
World,1951,536637285,5 to 14
World,1952,543435216,5 to 14
World,1953,552639641,5 to 14
World,1954,564888697,5 to 14
World,1955,579445907,5 to 14
World,1956,597258632,5 to 14
World,1957,619590984,5 to 14
World,1958,644724939,5 to 14
World,1959,670192379,5 to 14
World,1960,693630881,5 to 14
World,1961,718180194,5 to 14
World,1962,739528330,5 to 14
World,1963,757577365,5 to 14
World,1964,773085820,5 to 14
World,1965,787074772,5 to 14
World,1966,801432710,5 to 14
World,1967,816382947,5 to 14
World,1968,832117307,5 to 14
World,1969,848612659,5 to 14
World,1970,865062505,5 to 14
World,1971,883013297,5 to 14
World,1972,902457697,5 to 14
World,1973,922398660,5 to 14
World,1974,941513896,5 to 14
World,1975,958605580,5 to 14
World,1976,976103847,5 to 14
World,1977,992159217,5 to 14
World,1978,1006323982,5 to 14
World,1979,1018171030,5 to 14
World,1980,1027383952,5 to 14
World,1981,1036803714,5 to 14
World,1982,1043539195,5 to 14
World,1983,1048190950,5 to 14
World,1984,1051780587,5 to 14
World,1985,1055226288,5 to 14
World,1986,1060767138,5 to 14
World,1987,1068509868,5 to 14
World,1988,1078585568,5 to 14
World,1989,1090883734,5 to 14
World,1990,1104547080,5 to 14
World,1991,1120857370,5 to 14
World,1992,1140953306,5 to 14
World,1993,1163142626,5 to 14
World,1994,1184737333,5 to 14
World,1995,1203031497,5 to 14
World,1996,1220479501,5 to 14
World,1997,1232147202,5 to 14
World,1998,1237796821,5 to 14
